alpha,total_matches,early_matches,regular_matches,headhunter_welfare,firm_welfare,worker_welfare,match_welfare,avg_worker_rank_diff,avg_firm_rank_diff,avg_rank_diff_period0,avg_rank_diff_period1
0.71,27,15,12,35.69581646703792,26.50943510609638,21.684517394480515,48.1939525005769,0.17311111111111113,0.17311111111111113,0.12120000000000002,0.23799999999999996
0.72,28,13,15,37.27042648772568,27.254563194799974,22.46184493732661,49.71640813212659,0.15528571428571428,0.15528571428571428,0.08815384615384615,0.21346666666666664
0.73,23,12,11,31.013635350525114,22.430269344373954,18.804373006300935,41.23464235067489,0.14643478260869564,0.14643478260869564,0.11216666666666668,0.1838181818181818
0.74,28,14,14,38.3106464916792,27.171506791881818,22.90150042851896,50.07300722040078,0.14935714285714288,0.14935714285714288,0.08185714285714285,0.21685714285714283
0.75,23,11,12,32.22803509322093,22.53590814580429,19.16608700510721,41.7019951509115,0.14756521739130435,0.14756521739130435,0.08199999999999999,0.20766666666666667
0.76,23,12,11,32.75314907074532,22.649041483808762,19.307450445252783,41.95649192906154,0.12295652173913042,0.12295652173913042,0.09066666666666667,0.1581818181818182
0.77,25,12,13,35.69249514558042,24.394567877688473,20.942537438020846,45.33710531570932,0.11656000000000001,0.11656000000000001,0.09800000000000002,0.1336923076923077
0.78,23,13,10,33.33824278248276,22.297656734785804,19.46109464615893,41.75875138094473,0.1313913043478261,0.1313913043478261,0.10492307692307691,0.1658
0.79,25,13,12,36.39739987426663,24.435570170304704,20.474187419951097,44.9097575902558,0.16184,0.16184,0.11061538461538462,0.2173333333333333
0.8,24,12,12,34.4622508237824,23.141548508436447,18.632610854652935,41.77415936308938,0.17466666666666666,0.17466666666666666,0.10333333333333333,0.246
0.81,26,13,13,38.41903052124644,25.234066870656967,21.089296748843044,46.323363619500014,0.18453846153846154,0.18453846153846154,0.11984615384615384,0.2492307692307692
0.8200000000000001,25,12,13,37.4599587028925,24.299212276283406,20.37483252097417,44.67404479725758,0.18616,0.18616,0.12366666666666666,0.24384615384615385
0.8300000000000001,25,13,12,38.55266512001606,24.28264641811763,21.479137776929893,45.761784195047525,0.13768,0.13768,0.08030769230769232,0.19983333333333334
0.84,28,14,14,42.37882297390376,27.412109006452233,21.983085305938907,49.39519431239114,0.19549999999999998,0.19549999999999998,0.09414285714285715,0.2968571428571428
0.85,29,11,18,42.53609419632,27.974546131199503,20.68921615765984,48.663762288859346,0.23275862068965517,0.23275862068965517,0.09145454545454546,0.3191111111111111
0.86,20,10,10,32.35680442167361,19.769346702964906,17.44177392991043,37.211120632875335,0.13330000000000003,0.13330000000000003,0.1012,0.1654
0.87,27,14,13,42.40266929603,26.09988350190177,21.882969602334512,47.982853104236284,0.16755555555555557,0.16755555555555557,0.14999999999999997,0.18646153846153848
0.88,23,11,12,37.76821270621787,22.55024673664613,19.980168063861296,42.53041480050743,0.12869565217391307,0.12869565217391307,0.10290909090909092,0.15233333333333335
0.89,22,12,10,34.51870209710014,21.2671696894443,16.891559745075188,38.158729434519486,0.20409090909090907,0.20409090909090907,0.16533333333333333,0.2506
0.9,25,13,12,40.72076564414019,24.452158892115026,20.269078733380667,44.72123762549569,0.18384,0.18384,0.1366153846153846,0.235
0.91,27,14,13,43.25256710641036,26.32067320563495,20.61661936791042,46.93729257354537,0.2238518518518518,0.2238518518518518,0.13614285714285715,0.3183076923076923
0.92,26,14,12,43.21016424462127,25.337020548312477,21.22661944577241,46.56363999408489,0.13184615384615384,0.13184615384615384,0.09771428571428573,0.17166666666666663
0.93,23,12,11,40.20798459400149,22.643896704704567,20.406923016729888,43.05081972143445,0.10226086956521739,0.10226086956521739,0.11616666666666665,0.0870909090909091
0.9400000000000001,25,14,11,42.53632618618245,24.19504882918301,20.79193855213294,44.98698738131595,0.15016,0.15016,0.099,0.21527272727272725
0.9500000000000001,26,13,13,44.46529048384332,25.265078656144834,21.306499534906944,46.57157819105178,0.15384615384615385,0.15384615384615385,0.11399999999999998,0.19369230769230766
0.96,27,16,11,46.84232425379372,26.156957276921723,22.472489670169217,48.62944694709094,0.13414814814814816,0.13414814814814816,0.12,0.1547272727272727
0.97,24,12,12,42.288837310254955,23.321033952235346,20.162337168765628,43.48337112100097,0.12133333333333333,0.12133333333333333,0.11266666666666665,0.13
0.98,24,12,12,43.20976063748281,23.610798649834436,20.408385817216935,44.019184467051375,0.11641666666666667,0.11641666666666667,0.07116666666666667,0.16166666666666665
0.99,27,15,12,48.71799753233191,26.27833845399342,22.890356262683618,49.16869471667704,0.14992592592592593,0.14992592592592593,0.1593333333333333,0.13816666666666666
1.0,26,13,13,47.25041549468227,25.40029991345576,21.85011558122652,47.25041549468229,0.1626153846153846,0.1626153846153846,0.08415384615384616,0.2410769230769231
