num_headhunters,total_matches,early_matches,regular_matches,headhunter_welfare,firm_welfare,worker_welfare,match_welfare,avg_worker_rank_diff,avg_firm_rank_diff,avg_rank_diff_period0,avg_rank_diff_period1
88,11,5,6,10.887029018526695,10.797959866077006,9.155085190559223,19.953045056636228,0.16036363636363637,0.16036363636363637,0.1036,0.20766666666666667
89,11,4,7,10.915275312301505,10.913975862363333,8.504644821626599,19.418620683989932,0.2209090909090909,0.2209090909090909,0.056999999999999995,0.31457142857142856
90,12,6,6,11.865715030090874,11.753721932895488,8.843201733399383,20.59692366629487,0.23766666666666666,0.23766666666666666,0.08699999999999998,0.38833333333333336
91,11,6,5,10.927679251648156,10.861696023354925,9.85265052344042,20.714346546795348,0.09927272727272728,0.09927272727272728,0.13166666666666668,0.06040000000000001
92,13,6,7,12.818276411576665,12.823118296919528,10.671277078496498,23.494395375416026,0.17846153846153845,0.17846153846153845,0.14766666666666664,0.20485714285714285
93,11,5,6,10.921774192864719,10.897781528530077,9.69467825686705,20.592459785397125,0.09327272727272727,0.09327272727272727,0.0436,0.13466666666666668
94,14,5,9,13.888181710351175,13.870216775149892,9.92461003927918,23.794826814429072,0.2885714285714286,0.2885714285714286,0.1196,0.3824444444444445
95,11,5,6,10.913033400864636,10.85485482199078,9.12853407503078,19.983388897021563,0.16,0.16,0.096,0.21333333333333335
96,9,4,5,8.911267131076803,8.908268406918893,7.638635209039319,16.54690361595821,0.1437777777777778,0.1437777777777778,0.1565,0.1336
97,11,4,7,10.80278327147725,10.84028646394978,8.319797523237797,19.160083987187576,0.20545454545454545,0.20545454545454545,0.1425,0.2414285714285714
98,11,6,5,10.879842228508855,10.83855693282769,9.194520569296671,20.03307750212436,0.1427272727272727,0.1427272727272727,0.11533333333333333,0.1756
99,13,6,7,12.922844735158524,12.86931761715375,10.773491500632625,23.642809117786378,0.14553846153846153,0.14553846153846153,0.08633333333333333,0.19628571428571426
100,10,6,4,9.964397859448097,9.932746628211943,8.65648332247752,18.589229950689464,0.1496,0.1496,0.19766666666666668,0.0775
101,11,6,5,10.92597036427285,10.905203601622244,10.09735982347945,21.002563425101695,0.09490909090909092,0.09490909090909092,0.04766666666666667,0.1516
102,10,6,4,9.910376912026143,9.82621379205202,8.870194834616145,18.696408626668166,0.1336,0.1336,0.14466666666666667,0.11699999999999999
103,8,4,4,7.944416518250284,7.919189816387826,7.1306160013388835,15.04980581772671,0.09425,0.09425,0.069,0.1195
104,10,4,6,9.914218590005083,9.86655798081328,8.761530855096403,18.628088835909683,0.1256,0.1256,0.019000000000000003,0.19666666666666668
105,10,6,4,9.835883479276433,9.920459604171667,8.972571794701015,18.89303139887268,0.065,0.065,0.030333333333333334,0.11700000000000002
106,11,4,7,10.922600769332256,10.906597199271049,9.777472766270643,20.684069965541692,0.10927272727272727,0.10927272727272727,0.0785,0.12685714285714286
107,8,4,4,7.887811026237336,7.913850775257232,7.361175476681584,15.275026251938815,0.067,0.067,0.063,0.071
108,10,5,5,9.91335172820778,9.931583157871941,8.741746378014495,18.673329535886438,0.11180000000000001,0.11180000000000001,0.11879999999999999,0.1048
109,11,5,6,10.94969649240602,10.916460968767417,9.375408986632912,20.29186995540033,0.14345454545454545,0.14345454545454545,0.0852,0.19199999999999998
110,12,5,7,11.819555565863338,11.855762654362312,9.02679841192133,20.882561066283643,0.22999999999999998,0.22999999999999998,0.062,0.35
111,9,5,4,8.939896395964436,8.906624453876484,8.38914723397505,17.295771687851534,0.06466666666666668,0.06466666666666668,0.0712,0.0565
112,10,5,5,9.928711199115789,9.914999260423894,8.685758729114859,18.600757989538753,0.10539999999999998,0.10539999999999998,0.0388,0.172
113,13,8,5,12.847980092443892,12.816632044899965,10.339327994691823,23.15596003959179,0.22138461538461535,0.22138461538461535,0.261,0.158
114,9,4,5,8.950456345991597,8.954773814585398,8.252103230588983,17.20687704517438,0.09222222222222222,0.09222222222222222,0.07899999999999999,0.1028
115,10,4,6,9.91442147429175,9.877321029993347,8.366234077995234,18.24355510798858,0.1618,0.1618,0.028999999999999998,0.2503333333333333
116,10,4,6,9.93291070684691,9.903957849736791,8.635461095380723,18.539418945117514,0.14079999999999998,0.14079999999999998,0.07699999999999999,0.18333333333333332
117,10,5,5,9.93614696868423,9.926204517583916,7.676868152970653,17.603072670554567,0.209,0.209,0.2244,0.1936
118,11,6,5,10.891343470246941,10.85964731284747,8.740999554266264,19.60064686711373,0.19236363636363638,0.19236363636363638,0.154,0.2384
119,8,4,4,7.946366477630268,7.956715613953061,7.448804097865708,15.40551971181877,0.075,0.075,0.047,0.10300000000000001
120,8,4,4,7.973151545553592,7.951929131838707,6.710075888030136,14.662005019868843,0.17099999999999999,0.17099999999999999,0.10300000000000001,0.239
121,10,4,6,9.94828013056551,9.91088311938876,8.34076518355347,18.25164830294223,0.187,0.187,0.106,0.241
122,8,4,4,7.963112035542547,7.927072796171633,7.002472778832455,14.929545575004088,0.117,0.117,0.099,0.13499999999999998
123,10,5,5,9.78458925246311,9.884826322201018,8.6279281455314,18.512754467732417,0.1232,0.1232,0.068,0.17839999999999998
124,10,5,5,9.76352665076287,9.908567279784624,7.923625404077943,17.832192683862566,0.1746,0.1746,0.1444,0.2048
125,10,5,5,9.912539527604949,9.93594113778087,8.901714226092036,18.837655363872905,0.1002,0.1002,0.1044,0.096
